Market,Week,Week_Date,Load_Type,Load_Index,Load_ID,Capacity_CBM,Boxes_C,Units_C,CBM_C,Boxes_D,Units_D,CBM_D,Total_Boxes,Total_Units,Used_CBM,Slack_CBM
UK,3,2026-05-04,LCL,1,LCL,,2160,4320.0,21.6,608,2432.0,3.8,2768,6752.0,25.4,0.0
UK,4,2026-05-11,LCL,1,LCL,,4185,8370.0,41.85,2498,9992.0,15.6125,6683,18362.0,57.4625,0.0
UK,5,2026-05-18,40,1,40_1,65.0,5587,11174.0,55.87,1460,5840.0,9.125,7047,17014.0,64.995,0.005
UK,5,2026-05-18,LCL,1,LCL,,304,608.0,3.04,0,0.0,0.0,304,608.0,3.04,0.0
UK,6,2026-05-25,40,1,40_1,65.0,5235,10470.0,52.35,2024,8096.0,12.65,7259,18566.0,65.0,0.0
UK,6,2026-05-25,LCL,1,LCL,,27,54.0,0.27,1,4.0,0.00625,28,58.0,0.27625,0.0
UK,7,2026-06-01,LCL,1,LCL,,1620,3240.0,16.2,251,1004.0,1.56875,1871,4244.0,17.76875,0.0
UK,8,2026-06-08,LCL,1,LCL,,3221,6442.0,32.21,618,2472.0,3.8625,3839,8914.0,36.0725,0.0
UK,9,2026-06-15,LCL,1,LCL,,4401,8802.0,44.01,865,3460.0,5.40625,5266,12262.0,49.41625,0.0
UK,10,2026-06-22,LCL,1,LCL,,3848,7696.0,38.48,125,500.0,0.78125,3973,8196.0,39.26125,0.0
UK,11,2026-06-29,LCL,1,LCL,,1250,2500.0,12.5,125,500.0,0.78125,1375,3000.0,13.28125,0.0
UK,12,2026-07-06,LCL,1,LCL,,1250,2500.0,12.5,125,500.0,0.78125,1375,3000.0,13.28125,0.0
UK,13,2026-07-13,LCL,1,LCL,,1250,2500.0,12.5,125,500.0,0.78125,1375,3000.0,13.28125,0.0
UK,14,2026-07-20,LCL,1,LCL,,500,1000.0,5.0,0,0.0,0.0,500,1000.0,5.0,0.0
UK,15,2026-07-27,LCL,1,LCL,,500,1000.0,5.0,0,0.0,0.0,500,1000.0,5.0,0.0
UK,16,2026-08-03,LCL,1,LCL,,500,1000.0,5.0,100,400.0,0.625,600,1400.0,5.625,0.0
UK,17,2026-08-10,LCL,1,LCL,,500,1000.0,5.0,0,0.0,0.0,500,1000.0,5.0,0.0
UK,18,2026-08-17,LCL,1,LCL,,500,1000.0,5.0,0,0.0,0.0,500,1000.0,5.0,0.0
UK,19,2026-08-24,LCL,1,LCL,,375,750.0,3.75,100,400.0,0.625,475,1150.0,4.375,0.0
UK,20,2026-08-31,LCL,1,LCL,,375,750.0,3.75,0,0.0,0.0,375,750.0,3.75,0.0
UK,21,2026-09-07,LCL,1,LCL,,375,750.0,3.75,100,400.0,0.625,475,1150.0,4.375,0.0
UK,22,2026-09-14,LCL,1,LCL,,375,750.0,3.75,0,0.0,0.0,375,750.0,3.75,0.0
UK,23,2026-09-21,LCL,1,LCL,,300,600.0,3.0,90,360.0,0.5625,390,960.0,3.5625,0.0
UK,24,2026-09-28,LCL,1,LCL,,300,600.0,3.0,90,360.0,0.5625,390,960.0,3.5625,0.0
UK,25,2026-10-05,LCL,1,LCL,,300,600.0,3.0,90,360.0,0.5625,390,960.0,3.5625,0.0
UK,26,2026-10-12,LCL,1,LCL,,300,600.0,3.0,90,360.0,0.5625,390,960.0,3.5625,0.0
UK,27,2026-10-19,LCL,1,LCL,,300,600.0,3.0,90,360.0,0.5625,390,960.0,3.5625,0.0
UK,28,2026-10-26,LCL,1,LCL,,250,500.0,2.5,250,1000.0,1.5625,500,1500.0,4.0625,0.0
UK,29,2026-11-02,LCL,1,LCL,,250,500.0,2.5,250,1000.0,1.5625,500,1500.0,4.0625,0.0
UK,30,2026-11-09,LCL,1,LCL,,250,500.0,2.5,250,1000.0,1.5625,500,1500.0,4.0625,0.0
UK,31,2026-11-16,LCL,1,LCL,,250,500.0,2.5,250,1000.0,1.5625,500,1500.0,4.0625,0.0
UK,32,2026-11-23,LCL,1,LCL,,1500,3000.0,15.0,313,1252.0,1.95625,1813,4252.0,16.95625,0.0
UK,33,2026-11-30,LCL,1,LCL,,1500,3000.0,15.0,313,1252.0,1.95625,1813,4252.0,16.95625,0.0
UK,34,2026-12-07,LCL,1,LCL,,1500,3000.0,15.0,313,1252.0,1.95625,1813,4252.0,16.95625,0.0
UK,35,2026-12-14,LCL,1,LCL,,1500,3000.0,15.0,313,1252.0,1.95625,1813,4252.0,16.95625,0.0
