Market,Week,Week_Date,Load_Type,Load_Index,Load_ID,Capacity_CBM,Boxes_A,Units_A,CBM_A,Boxes_B,Units_B,CBM_B,Boxes_F,Units_F,CBM_F,Total_Boxes,Total_Units,Used_CBM,Slack_CBM
US,1,2026-04-20,LCL,1,LCL,,0,0.0,0.0,0,0.0,0.0,74,592.0,0.578125,74,592.0,0.578125,0.0
US,2,2026-04-27,LCL,1,LCL,,171,684.0,1.71,0,0.0,0.0,504,4032.0,3.9375,675,4716.0,5.6475,0.0
US,3,2026-05-04,40,1,40_1,65.0,5000,20000.0,50.0,1376,5504.0,8.6,525,4200.0,4.101562,6901,29704.0,62.701563,2.298437
US,4,2026-05-11,40,1,40_1,65.0,4050,16200.0,40.5,3915,15660.0,24.46875,4,32.0,0.03125,7969,31892.0,65.0,0.0
US,4,2026-05-11,LCL,1,LCL,,950,3800.0,9.5,0,0.0,0.0,472,3776.0,3.6875,1422,7576.0,13.1875,0.0
US,5,2026-05-18,40,1,40_1,65.0,2750,11000.0,27.5,2217,8868.0,13.85625,563,4504.0,4.398438,5530,24372.0,45.754688,19.245312
US,6,2026-05-25,40,1,40_1,65.0,3250,13000.0,32.5,537,2148.0,3.35625,525,4200.0,4.101562,4312,19348.0,39.957813,25.042187
US,7,2026-06-01,40,1,40_1,65.0,3444,13776.0,34.44,1781,7124.0,11.13125,563,4504.0,4.398438,5788,25404.0,49.969687,15.030313
US,8,2026-06-08,20,1,20_1,28.0,1765,7060.0,17.65,952,3808.0,5.95,563,4504.0,4.398438,3280,15372.0,27.998438,0.001562
US,8,2026-06-08,LCL,1,LCL,,0,0.0,0.0,376,1504.0,2.35,0,0.0,0.0,376,1504.0,2.35,0.0
US,9,2026-06-15,20,1,20_1,28.0,510,2040.0,5.1,1328,5312.0,8.3,275,2200.0,2.148438,2113,9552.0,15.548438,12.451562
US,10,2026-06-22,20,1,20_1,28.0,886,3544.0,8.86,750,3000.0,4.6875,625,5000.0,4.882812,2261,11544.0,18.430312,9.569688
US,11,2026-06-29,40,1,40_1,65.0,3011,12044.0,30.11,750,3000.0,4.6875,538,4304.0,4.203125,4299,19348.0,39.000625,25.999375
US,12,2026-07-06,40,1,40_1,65.0,3010,12040.0,30.1,750,3000.0,4.6875,588,4704.0,4.59375,4348,19744.0,39.38125,25.61875
US,13,2026-07-13,LCL,1,LCL,,0,0.0,0.0,750,3000.0,4.6875,594,4752.0,4.640625,1344,7752.0,9.328125,0.0
US,14,2026-07-20,LCL,1,LCL,,0,0.0,0.0,600,2400.0,3.75,538,4304.0,4.203125,1138,6704.0,7.953125,0.0
US,15,2026-07-27,40,1,40_1,65.0,6500,26000.0,65.0,0,0.0,0.0,0,0.0,0.0,6500,26000.0,65.0,0.0
US,15,2026-07-27,LCL,1,LCL,,440,1760.0,4.4,600,2400.0,3.75,60,480.0,0.46875,1100,4640.0,8.61875,0.0
US,16,2026-08-03,40,1,40_1,65.0,6500,26000.0,65.0,0,0.0,0.0,0,0.0,0.0,6500,26000.0,65.0,0.0
US,16,2026-08-03,LCL,1,LCL,,122,488.0,1.22,0,0.0,0.0,163,1304.0,1.273438,285,1792.0,2.493437,0.0
US,17,2026-08-10,20,1,20_1,28.0,1062,4248.0,10.62,600,2400.0,3.75,163,1304.0,1.273438,1825,7952.0,15.643438,12.356562
US,18,2026-08-17,20,1,20_1,28.0,1062,4248.0,10.62,600,2400.0,3.75,163,1304.0,1.273438,1825,7952.0,15.643438,12.356562
US,19,2026-08-24,20,1,20_1,28.0,1063,4252.0,10.63,938,3752.0,5.8625,189,1512.0,1.476562,2190,9516.0,17.969062,10.030938
US,20,2026-08-31,20,1,20_1,28.0,1062,4248.0,10.62,938,3752.0,5.8625,189,1512.0,1.476562,2189,9512.0,17.959063,10.040937
US,21,2026-09-07,LCL,1,LCL,,598,2392.0,5.98,938,3752.0,5.8625,189,1512.0,1.476562,1725,7656.0,13.319063,0.0
US,22,2026-09-14,LCL,1,LCL,,598,2392.0,5.98,938,3752.0,5.8625,189,1512.0,1.476562,1725,7656.0,13.319063,0.0
US,23,2026-09-21,LCL,1,LCL,,598,2392.0,5.98,750,3000.0,4.6875,181,1448.0,1.414062,1529,6840.0,12.081563,0.0
US,24,2026-09-28,LCL,1,LCL,,598,2392.0,5.98,750,3000.0,4.6875,0,0.0,0.0,1348,5392.0,10.6675,0.0
US,25,2026-10-05,40,1,40_1,65.0,4005,16020.0,40.05,750,3000.0,4.6875,0,0.0,0.0,4755,19020.0,44.7375,20.2625
US,26,2026-10-12,40,1,40_1,65.0,4005,16020.0,40.05,750,3000.0,4.6875,181,1448.0,1.414062,4936,20468.0,46.151563,18.848437
US,27,2026-10-19,40,1,40_1,65.0,4004,16016.0,40.04,750,3000.0,4.6875,181,1448.0,1.414062,4935,20464.0,46.141562,18.858438
US,28,2026-10-26,40,1,40_1,65.0,4005,16020.0,40.05,1563,6252.0,9.76875,181,1448.0,1.414062,5749,23720.0,51.232813,13.767187
US,29,2026-11-02,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,30,2026-11-09,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,31,2026-11-16,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,32,2026-11-23,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,33,2026-11-30,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,241,1928.0,1.882812,2875,12464.0,22.361563,5.638437
US,34,2026-12-07,20,1,20_1,28.0,2082,8328.0,20.82,846,3384.0,5.2875,242,1936.0,1.890625,3170,13648.0,27.998125,0.001875
US,34,2026-12-07,LCL,1,LCL,,0,0.0,0.0,717,2868.0,4.48125,0,0.0,0.0,717,2868.0,4.48125,0.0
US,35,2026-12-14,20,1,20_1,28.0,2049,8196.0,20.49,1154,4616.0,7.2125,38,304.0,0.296875,3241,13116.0,27.999375,0.000625
US,35,2026-12-14,LCL,1,LCL,,33,132.0,0.33,409,1636.0,2.55625,203,1624.0,1.585938,645,3392.0,4.472188,0.0
