Market,Week,Week_Date,Units_A,Boxes_A,CBM_A,LCL_Boxes_A,LCL_Units_A,LCL_CBM_A,Units_B,Boxes_B,CBM_B,LCL_Boxes_B,LCL_Units_B,LCL_CBM_B,Units_F,Boxes_F,CBM_F,LCL_Boxes_F,LCL_Units_F,LCL_CBM_F,Total_Demand_CBM,n40,n20,LCL_CBM,Coverage_CBM,Slack_CBM,Cost_40,Cost_20,Cost_LCL,Cost,Units_C,Boxes_C,CBM_C,LCL_Boxes_C,LCL_Units_C,LCL_CBM_C,Units_D,Boxes_D,CBM_D,LCL_Boxes_D,LCL_Units_D,LCL_CBM_D,Units_E,Boxes_E,CBM_E,LCL_Boxes_E,LCL_Units_E,LCL_CBM_E
US,1,2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,74.0,0.578125,74.0,592.0,0.578125,0.578125,0,0,0.578125,0.578125,0.0,0.0,0.0,115.62,115.62,,,,,,,,,,,,,,,,,,
US,2,2026-04-27,684.0,171.0,1.71,171.0,684.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,4028.0,504.0,3.9375,504.0,4032.0,3.9375,5.6475,0,0,5.6475,5.6475,0.0,0.0,0.0,1129.5,1129.5,,,,,,,,,,,,,,,,,,
US,3,2026-05-04,20000.0,5000.0,50.0,0.0,0.0,0.0,5502.0,1376.0,8.6,0.0,0.0,0.0,4200.0,525.0,4.101562,0.0,0.0,0.0,62.701563,1,0,0.0,65.0,2.298437,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
US,4,2026-05-11,20000.0,5000.0,50.0,950.0,3800.0,9.5,15658.0,3915.0,24.46875,0.0,0.0,0.0,3802.0,476.0,3.71875,472.0,3776.0,3.6875,78.1875,1,0,13.1875,78.1875,0.0,5200.0,0.0,2637.5,7837.5,,,,,,,,,,,,,,,,,,
US,5,2026-05-18,11000.0,2750.0,27.5,0.0,0.0,0.0,8865.0,2217.0,13.85625,0.0,0.0,0.0,4500.0,563.0,4.398438,0.0,0.0,0.0,45.754688,1,0,0.0,65.0,19.245312,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
US,6,2026-05-25,13000.0,3250.0,32.5,0.0,0.0,0.0,2146.0,537.0,3.35625,0.0,0.0,0.0,4200.0,525.0,4.101562,0.0,0.0,0.0,39.957813,1,0,0.0,65.0,25.042187,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
US,7,2026-06-01,13773.0,3444.0,34.44,0.0,0.0,0.0,7123.0,1781.0,11.13125,0.0,0.0,0.0,4500.0,563.0,4.398438,0.0,0.0,0.0,49.969687,1,0,0.0,65.0,15.030313,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
US,8,2026-06-08,7058.0,1765.0,17.65,0.0,0.0,0.0,5309.0,1328.0,8.3,376.0,1504.0,2.35,4500.0,563.0,4.398438,0.0,0.0,0.0,30.348438,0,1,2.35,30.35,0.001562,0.0,3000.0,470.0,3470.0,,,,,,,,,,,,,,,,,,
US,9,2026-06-15,2040.0,510.0,5.1,0.0,0.0,0.0,5309.0,1328.0,8.3,0.0,0.0,0.0,2200.0,275.0,2.148438,0.0,0.0,0.0,15.548438,0,1,0.0,28.0,12.451562,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
US,10,2026-06-22,3541.0,886.0,8.86,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,5000.0,625.0,4.882812,0.0,0.0,0.0,18.430312,0,1,0.0,28.0,9.569688,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
