Market,Week,Week_Date,Load_Type,Load_Index,Load_ID,Capacity_CBM,Boxes_A,Units_A,CBM_A,Boxes_B,Units_B,CBM_B,Boxes_F,Units_F,CBM_F,Total_Boxes,Total_Units,Used_CBM,Slack_CBM,Boxes_C,Units_C,CBM_C,Boxes_D,Units_D,CBM_D,Boxes_E,Units_E,CBM_E
US,1,2026-04-13,20,1,20_1,28.0,0.0,0.0,0.0,2500.0,10000.0,15.625,250.0,2000.0,1.953125,2750,12000.0,17.578125,10.421875,,,,,,,,,
US,2,2026-04-20,20,1,20_1,28.0,1320.0,5280.0,13.2,2368.0,9472.0,14.8,0.0,0.0,0.0,3688,14752.0,28.0,0.0,,,,,,,,,
US,2,2026-04-20,LCL,1,LCL,,58.0,232.0,0.58,5.0,20.0,0.03125,313.0,2504.0,2.445312,376,2756.0,3.056563,0.0,,,,,,,,,
US,3,2026-04-27,20,1,20_1,28.0,1750.0,7000.0,17.5,1680.0,6720.0,10.5,0.0,0.0,0.0,3430,13720.0,28.0,0.0,,,,,,,,,
US,3,2026-04-27,LCL,1,LCL,,0.0,0.0,0.0,320.0,1280.0,2.0,254.0,2032.0,1.984375,574,3312.0,3.984375,0.0,,,,,,,,,
US,4,2026-05-04,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,375.0,3000.0,2.929688,4125,18000.0,40.429688,24.570312,,,,,,,,,
US,5,2026-05-11,20,1,20_1,28.0,2800.0,11200.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2800,11200.0,28.0,0.0,,,,,,,,,
US,5,2026-05-11,LCL,1,LCL,,325.0,1300.0,3.25,0.0,0.0,0.0,313.0,2504.0,2.445312,638,3804.0,5.695312,0.0,,,,,,,,,
US,6,2026-05-18,40,1,40_1,65.0,2750.0,11000.0,27.5,1000.0,4000.0,6.25,375.0,3000.0,2.929688,4125,18000.0,36.679688,28.320312,,,,,,,,,
US,7,2026-05-25,40,1,40_1,65.0,3250.0,13000.0,32.5,500.0,2000.0,3.125,338.0,2704.0,2.640625,4088,17704.0,38.265625,26.734375,,,,,,,,,
US,8,2026-06-01,40,1,40_1,65.0,3444.0,13776.0,34.44,307.0,1228.0,1.91875,375.0,3000.0,2.929688,4126,18004.0,39.288438,25.711562,,,,,,,,,
US,9,2026-06-08,20,1,20_1,28.0,1677.0,6708.0,16.77,1328.0,5312.0,8.3,375.0,3000.0,2.929688,3380,15020.0,27.999688,0.000312,,,,,,,,,
US,9,2026-06-08,LCL,1,LCL,,88.0,352.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,88,352.0,0.88,0.0,,,,,,,,,
US,10,2026-06-15,20,1,20_1,28.0,510.0,2040.0,5.1,1328.0,5312.0,8.3,338.0,2704.0,2.640625,2176,10056.0,16.040625,11.959375,,,,,,,,,
US,11,2026-06-22,20,1,20_1,28.0,886.0,3544.0,8.86,771.0,3084.0,4.81875,375.0,3000.0,2.929688,2032,9628.0,16.608438,11.391562,,,,,,,,,
US,12,2026-06-29,40,1,40_1,65.0,3011.0,12044.0,30.11,740.0,2960.0,4.625,288.0,2304.0,2.25,4039,17308.0,36.985,28.015,,,,,,,,,
US,13,2026-07-06,40,1,40_1,65.0,3010.0,12040.0,30.1,740.0,2960.0,4.625,338.0,2704.0,2.640625,4088,17704.0,37.365625,27.634375,,,,,,,,,
US,14,2026-07-13,20,1,20_1,28.0,2310.0,9240.0,23.1,364.0,1456.0,2.275,336.0,2688.0,2.625,3010,13384.0,28.0,0.0,,,,,,,,,
US,14,2026-07-13,LCL,1,LCL,,2.0,8.0,0.02,386.0,1544.0,2.4125,2.0,16.0,0.015625,390,1568.0,2.448125,0.0,,,,,,,,,
US,15,2026-07-20,20,1,20_1,28.0,1439.0,5756.0,14.39,1200.0,4800.0,7.5,338.0,2704.0,2.640625,2977,13260.0,24.530625,3.469375,,,,,,,,,
US,16,2026-07-27,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,60.0,480.0,0.46875,3810,15480.0,37.96875,27.03125,,,,,,,,,
US,17,2026-08-03,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,163.0,1304.0,1.273438,3913,16304.0,38.773438,26.226562,,,,,,,,,
US,18,2026-08-10,20,1,20_1,28.0,1062.0,4248.0,10.62,600.0,2400.0,3.75,163.0,1304.0,1.273438,1825,7952.0,15.643438,12.356562,,,,,,,,,
US,19,2026-08-17,20,1,20_1,28.0,1062.0,4248.0,10.62,600.0,2400.0,3.75,163.0,1304.0,1.273438,1825,7952.0,15.643438,12.356562,,,,,,,,,
US,20,2026-08-24,20,1,20_1,28.0,1063.0,4252.0,10.63,938.0,3752.0,5.8625,189.0,1512.0,1.476562,2190,9516.0,17.969062,10.030938,,,,,,,,,
US,21,2026-08-31,20,1,20_1,28.0,1062.0,4248.0,10.62,938.0,3752.0,5.8625,189.0,1512.0,1.476562,2189,9512.0,17.959063,10.040937,,,,,,,,,
US,22,2026-09-07,20,1,20_1,28.0,598.0,2392.0,5.98,938.0,3752.0,5.8625,189.0,1512.0,1.476562,1725,7656.0,13.319063,14.680937,,,,,,,,,
US,23,2026-09-14,20,1,20_1,28.0,598.0,2392.0,5.98,963.0,3852.0,6.01875,189.0,1512.0,1.476562,1750,7756.0,13.475313,14.524687,,,,,,,,,
US,24,2026-09-21,20,1,20_1,28.0,598.0,2392.0,5.98,3153.0,12612.0,19.70625,181.0,1448.0,1.414062,3932,16452.0,27.100313,0.899687,,,,,,,,,
US,25,2026-09-28,20,1,20_1,28.0,1505.0,6020.0,15.05,2072.0,8288.0,12.95,0.0,0.0,0.0,3577,14308.0,28.0,0.0,,,,,,,,,
US,25,2026-09-28,LCL,1,LCL,,110.0,440.0,1.1,1.0,4.0,0.00625,0.0,0.0,0.0,111,444.0,1.10625,0.0,,,,,,,,,
US,26,2026-10-05,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,3750,15000.0,37.5,27.5,,,,,,,,,
US,27,2026-10-12,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,181.0,1448.0,1.414062,3931,16448.0,38.914062,26.085938,,,,,,,,,
US,28,2026-10-19,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,181.0,1448.0,1.414062,3931,16448.0,38.914062,26.085938,,,,,,,,,
US,29,2026-10-26,40,1,40_1,65.0,3750.0,15000.0,37.5,0.0,0.0,0.0,181.0,1448.0,1.414062,3931,16448.0,38.914062,26.085938,,,,,,,,,
US,30,2026-11-02,20,1,20_1,28.0,1071.0,4284.0,10.71,1563.0,6252.0,9.76875,220.0,1760.0,1.71875,2854,12296.0,22.1975,5.8025,,,,,,,,,
US,31,2026-11-09,20,1,20_1,28.0,1071.0,4284.0,10.71,1563.0,6252.0,9.76875,220.0,1760.0,1.71875,2854,12296.0,22.1975,5.8025,,,,,,,,,
US,32,2026-11-16,20,1,20_1,28.0,1071.0,4284.0,10.71,1563.0,6252.0,9.76875,220.0,1760.0,1.71875,2854,12296.0,22.1975,5.8025,,,,,,,,,
US,33,2026-11-23,20,1,20_1,28.0,1071.0,4284.0,10.71,1563.0,6252.0,9.76875,220.0,1760.0,1.71875,2854,12296.0,22.1975,5.8025,,,,,,,,,
US,34,2026-11-30,20,1,20_1,28.0,1071.0,4284.0,10.71,1563.0,6252.0,9.76875,241.0,1928.0,1.882812,2875,12464.0,22.361563,5.638437,,,,,,,,,
US,35,2026-12-07,20,1,20_1,28.0,1634.0,6536.0,16.34,1563.0,6252.0,9.76875,242.0,1936.0,1.890625,3439,14724.0,27.999375,0.000625,,,,,,,,,
US,35,2026-12-07,LCL,1,LCL,,448.0,1792.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,448,1792.0,4.48,0.0,,,,,,,,,
US,36,2026-12-14,20,1,20_1,28.0,2080.0,8320.0,20.8,1152.0,4608.0,7.2,0.0,0.0,0.0,3232,12928.0,28.0,0.0,,,,,,,,,
US,36,2026-12-14,LCL,1,LCL,,2.0,8.0,0.02,411.0,1644.0,2.56875,241.0,1928.0,1.882812,654,3580.0,4.471563,0.0,,,,,,,,,
UK,1,2026-04-13,20,1,20_1,28.0,,,,,,,,,,1666,3332.0,16.66,11.34,1666.0,3332.0,16.66,0.0,0.0,0.0,,,
UK,2,2026-04-20,20,1,20_1,28.0,,,,,,,,,,2499,4998.0,24.99,3.01,2499.0,4998.0,24.99,0.0,0.0,0.0,,,
UK,3,2026-04-27,20,1,20_1,28.0,,,,,,,,,,2499,4998.0,24.99,3.01,2499.0,4998.0,24.99,0.0,0.0,0.0,,,
UK,4,2026-05-04,20,1,20_1,28.0,,,,,,,,,,2499,4998.0,24.99,3.01,2499.0,4998.0,24.99,0.0,0.0,0.0,,,
UK,5,2026-05-11,20,1,20_1,28.0,,,,,,,,,,2083,4166.0,20.83,7.17,2083.0,4166.0,20.83,0.0,0.0,0.0,,,
UK,6,2026-05-18,20,1,20_1,28.0,,,,,,,,,,2500,5000.0,25.0,3.0,2500.0,5000.0,25.0,0.0,0.0,0.0,,,
UK,7,2026-05-25,20,1,20_1,28.0,,,,,,,,,,2500,5000.0,25.0,3.0,2500.0,5000.0,25.0,0.0,0.0,0.0,,,
UK,8,2026-06-01,20,1,20_1,28.0,,,,,,,,,,2500,5000.0,25.0,3.0,2500.0,5000.0,25.0,0.0,0.0,0.0,,,
UK,9,2026-06-08,20,1,20_1,28.0,,,,,,,,,,2500,5000.0,25.0,3.0,2500.0,5000.0,25.0,0.0,0.0,0.0,,,
UK,10,2026-06-15,20,1,20_1,28.0,,,,,,,,,,2500,5000.0,25.0,3.0,2500.0,5000.0,25.0,0.0,0.0,0.0,,,
UK,11,2026-06-22,20,1,20_1,28.0,,,,,,,,,,2500,5000.0,25.0,3.0,2500.0,5000.0,25.0,0.0,0.0,0.0,,,
UK,12,2026-06-29,LCL,1,LCL,,,,,,,,,,,1375,3000.0,13.28125,0.0,1250.0,2500.0,12.5,125.0,500.0,0.78125,,,
UK,13,2026-07-06,LCL,1,LCL,,,,,,,,,,,1375,3000.0,13.28125,0.0,1250.0,2500.0,12.5,125.0,500.0,0.78125,,,
UK,14,2026-07-13,LCL,1,LCL,,,,,,,,,,,1375,3000.0,13.28125,0.0,1250.0,2500.0,12.5,125.0,500.0,0.78125,,,
UK,15,2026-07-20,LCL,1,LCL,,,,,,,,,,,500,1000.0,5.0,0.0,500.0,1000.0,5.0,0.0,0.0,0.0,,,
UK,16,2026-07-27,LCL,1,LCL,,,,,,,,,,,500,1000.0,5.0,0.0,500.0,1000.0,5.0,0.0,0.0,0.0,,,
UK,17,2026-08-03,LCL,1,LCL,,,,,,,,,,,600,1400.0,5.625,0.0,500.0,1000.0,5.0,100.0,400.0,0.625,,,
UK,18,2026-08-10,LCL,1,LCL,,,,,,,,,,,500,1000.0,5.0,0.0,500.0,1000.0,5.0,0.0,0.0,0.0,,,
UK,19,2026-08-17,LCL,1,LCL,,,,,,,,,,,500,1000.0,5.0,0.0,500.0,1000.0,5.0,0.0,0.0,0.0,,,
UK,20,2026-08-24,LCL,1,LCL,,,,,,,,,,,475,1150.0,4.375,0.0,375.0,750.0,3.75,100.0,400.0,0.625,,,
UK,21,2026-08-31,LCL,1,LCL,,,,,,,,,,,375,750.0,3.75,0.0,375.0,750.0,3.75,0.0,0.0,0.0,,,
UK,22,2026-09-07,LCL,1,LCL,,,,,,,,,,,475,1150.0,4.375,0.0,375.0,750.0,3.75,100.0,400.0,0.625,,,
UK,23,2026-09-14,LCL,1,LCL,,,,,,,,,,,375,750.0,3.75,0.0,375.0,750.0,3.75,0.0,0.0,0.0,,,
UK,24,2026-09-21,LCL,1,LCL,,,,,,,,,,,390,960.0,3.5625,0.0,300.0,600.0,3.0,90.0,360.0,0.5625,,,
UK,25,2026-09-28,LCL,1,LCL,,,,,,,,,,,390,960.0,3.5625,0.0,300.0,600.0,3.0,90.0,360.0,0.5625,,,
UK,26,2026-10-05,LCL,1,LCL,,,,,,,,,,,390,960.0,3.5625,0.0,300.0,600.0,3.0,90.0,360.0,0.5625,,,
UK,27,2026-10-12,LCL,1,LCL,,,,,,,,,,,390,960.0,3.5625,0.0,300.0,600.0,3.0,90.0,360.0,0.5625,,,
