Market,Week,Week_Date,Units_A,Boxes_A,CBM_A,LCL_Boxes_A,LCL_Units_A,LCL_CBM_A,Units_B,Boxes_B,CBM_B,LCL_Boxes_B,LCL_Units_B,LCL_CBM_B,Units_F,Boxes_F,CBM_F,LCL_Boxes_F,LCL_Units_F,LCL_CBM_F,Total_Demand_CBM,n40,n20,LCL_CBM,Coverage_CBM,Slack_CBM,Cost_40,Cost_20,Cost_LCL,Cost,Units_C,Boxes_C,CBM_C,LCL_Boxes_C,LCL_Units_C,LCL_CBM_C,Units_D,Boxes_D,CBM_D,LCL_Boxes_D,LCL_Units_D,LCL_CBM_D,Units_E,Boxes_E,CBM_E,LCL_Boxes_E,LCL_Units_E,LCL_CBM_E
UK,1,2026-04-13,,,,,,,,,,,,,,,,,,,16.66,0,0,16.66,16.66,0.0,0.0,0.0,1166.2,1166.2,3332.0,1666.0,16.66,1666.0,3332.0,16.66,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,2,2026-04-20,,,,,,,,,,,,,,,,,,,24.99,0,0,24.99,24.99,0.0,0.0,0.0,1749.3,1749.3,4998.0,2499.0,24.99,2499.0,4998.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,3,2026-04-27,,,,,,,,,,,,,,,,,,,24.99,0,0,24.99,24.99,0.0,0.0,0.0,1749.3,1749.3,4998.0,2499.0,24.99,2499.0,4998.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,4,2026-05-04,,,,,,,,,,,,,,,,,,,24.99,0,0,24.99,24.99,0.0,0.0,0.0,1749.3,1749.3,4998.0,2499.0,24.99,2499.0,4998.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,5,2026-05-11,,,,,,,,,,,,,,,,,,,20.83,0,0,20.83,20.83,0.0,0.0,0.0,1458.1,1458.1,4165.0,2083.0,20.83,2083.0,4166.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,6,2026-05-18,,,,,,,,,,,,,,,,,,,25.0,0,0,25.0,25.0,0.0,0.0,0.0,1750.0,1750.0,5000.0,2500.0,25.0,2500.0,5000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,7,2026-05-25,,,,,,,,,,,,,,,,,,,25.0,0,0,25.0,25.0,0.0,0.0,0.0,1750.0,1750.0,5000.0,2500.0,25.0,2500.0,5000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,8,2026-06-01,,,,,,,,,,,,,,,,,,,25.0,0,0,25.0,25.0,0.0,0.0,0.0,1750.0,1750.0,5000.0,2500.0,25.0,2500.0,5000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,9,2026-06-08,,,,,,,,,,,,,,,,,,,25.0,0,0,25.0,25.0,0.0,0.0,0.0,1750.0,1750.0,5000.0,2500.0,25.0,2500.0,5000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,10,2026-06-15,,,,,,,,,,,,,,,,,,,25.0,0,0,25.0,25.0,0.0,0.0,0.0,1750.0,1750.0,5000.0,2500.0,25.0,2500.0,5000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,11,2026-06-22,,,,,,,,,,,,,,,,,,,25.0,0,0,25.0,25.0,0.0,0.0,0.0,1750.0,1750.0,5000.0,2500.0,25.0,2500.0,5000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,12,2026-06-29,,,,,,,,,,,,,,,,,,,13.28125,0,0,13.28125,13.28125,0.0,0.0,0.0,929.69,929.69,2500.0,1250.0,12.5,1250.0,2500.0,12.5,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
UK,13,2026-07-06,,,,,,,,,,,,,,,,,,,13.28125,0,0,13.28125,13.28125,0.0,0.0,0.0,929.69,929.69,2500.0,1250.0,12.5,1250.0,2500.0,12.5,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
UK,14,2026-07-13,,,,,,,,,,,,,,,,,,,13.28125,0,0,13.28125,13.28125,0.0,0.0,0.0,929.69,929.69,2500.0,1250.0,12.5,1250.0,2500.0,12.5,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
UK,15,2026-07-20,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,16,2026-07-27,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,17,2026-08-03,,,,,,,,,,,,,,,,,,,5.625,0,0,5.625,5.625,0.0,0.0,0.0,393.75,393.75,1000.0,500.0,5.0,500.0,1000.0,5.0,400.0,100.0,0.625,100.0,400.0,0.625,,,,,,
UK,18,2026-08-10,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,19,2026-08-17,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
