Market,Week,Week_Date,Load_Type,Load_Index,Load_ID,Capacity_CBM,Boxes_A,Units_A,CBM_A,Boxes_B,Units_B,CBM_B,Boxes_F,Units_F,CBM_F,Total_Boxes,Total_Units,Used_CBM,Slack_CBM
US,1,2026-04-13,20,1,20_1,28.0,0,0.0,0.0,2500,10000.0,15.625,250,2000.0,1.953125,2750,12000.0,17.578125,10.421875
US,2,2026-04-20,20,1,20_1,28.0,1320,5280.0,13.2,2368,9472.0,14.8,0,0.0,0.0,3688,14752.0,28.0,0.0
US,2,2026-04-20,LCL,1,LCL,,58,232.0,0.58,5,20.0,0.03125,313,2504.0,2.445312,376,2756.0,3.056563,0.0
US,3,2026-04-27,20,1,20_1,28.0,1750,7000.0,17.5,1680,6720.0,10.5,0,0.0,0.0,3430,13720.0,28.0,0.0
US,3,2026-04-27,LCL,1,LCL,,0,0.0,0.0,320,1280.0,2.0,254,2032.0,1.984375,574,3312.0,3.984375,0.0
US,4,2026-05-04,40,1,40_1,65.0,3750,15000.0,37.5,0,0.0,0.0,375,3000.0,2.929688,4125,18000.0,40.429688,24.570312
US,5,2026-05-11,20,1,20_1,28.0,2800,11200.0,28.0,0,0.0,0.0,0,0.0,0.0,2800,11200.0,28.0,0.0
US,5,2026-05-11,LCL,1,LCL,,325,1300.0,3.25,0,0.0,0.0,313,2504.0,2.445312,638,3804.0,5.695312,0.0
US,6,2026-05-18,20,1,20_1,28.0,1882,7528.0,18.82,1000,4000.0,6.25,375,3000.0,2.929688,3257,14528.0,27.999688,0.000312
US,6,2026-05-18,LCL,1,LCL,,868,3472.0,8.68,0,0.0,0.0,0,0.0,0.0,868,3472.0,8.68,0.0
US,7,2026-05-25,20,1,20_1,28.0,2488,9952.0,24.88,499,1996.0,3.11875,0,0.0,0.0,2987,11948.0,27.99875,0.00125
US,7,2026-05-25,LCL,1,LCL,,762,3048.0,7.62,1,4.0,0.00625,338,2704.0,2.640625,1101,5756.0,10.266875,0.0
US,8,2026-06-01,40,1,40_1,65.0,3444,13776.0,34.44,307,1228.0,1.91875,375,3000.0,2.929688,4126,18004.0,39.288438,25.711562
US,9,2026-06-08,20,1,20_1,28.0,1765,7060.0,17.65,1187,4748.0,7.41875,375,3000.0,2.929688,3327,14808.0,27.998438,0.001562
US,9,2026-06-08,LCL,1,LCL,,0,0.0,0.0,141,564.0,0.88125,0,0.0,0.0,141,564.0,0.88125,0.0
US,10,2026-06-15,20,1,20_1,28.0,510,2040.0,5.1,1328,5312.0,8.3,338,2704.0,2.640625,2176,10056.0,16.040625,11.959375
US,11,2026-06-22,20,1,20_1,28.0,886,3544.0,8.86,771,3084.0,4.81875,375,3000.0,2.929688,2032,9628.0,16.608438,11.391562
US,12,2026-06-29,20,1,20_1,28.0,2800,11200.0,28.0,0,0.0,0.0,0,0.0,0.0,2800,11200.0,28.0,0.0
US,12,2026-06-29,LCL,1,LCL,,211,844.0,2.11,740,2960.0,4.625,288,2304.0,2.25,1239,6108.0,8.985,0.0
US,13,2026-07-06,20,1,20_1,28.0,2800,11200.0,28.0,0,0.0,0.0,0,0.0,0.0,2800,11200.0,28.0,0.0
US,13,2026-07-06,LCL,1,LCL,,210,840.0,2.1,740,2960.0,4.625,338,2704.0,2.640625,1288,6504.0,9.365625,0.0
