Market,Week,Week_Date,Units_A,Boxes_A,CBM_A,LCL_Boxes_A,LCL_Units_A,LCL_CBM_A,Units_B,Boxes_B,CBM_B,LCL_Boxes_B,LCL_Units_B,LCL_CBM_B,Units_F,Boxes_F,CBM_F,LCL_Boxes_F,LCL_Units_F,LCL_CBM_F,Total_Demand_CBM,n40,n20,LCL_CBM,Coverage_CBM,Slack_CBM,Cost_40,Cost_20,Cost_LCL,Cost,Units_C,Boxes_C,CBM_C,LCL_Boxes_C,LCL_Units_C,LCL_CBM_C,Units_D,Boxes_D,CBM_D,LCL_Boxes_D,LCL_Units_D,LCL_CBM_D,Units_E,Boxes_E,CBM_E,LCL_Boxes_E,LCL_Units_E,LCL_CBM_E
US,1,2026-04-13,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2500.0,15.625,0.0,0.0,0.0,2000.0,250.0,1.953125,0.0,0.0,0.0,17.578125,0,1,0.0,28.0,10.421875,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
US,2,2026-04-20,5510.0,1378.0,13.78,58.0,232.0,0.58,9490.0,2373.0,14.83125,5.0,20.0,0.03125,2500.0,313.0,2.445312,313.0,2504.0,2.445312,31.056563,0,1,3.056563,31.056562,-0.0,0.0,3000.0,611.31,3611.31,,,,,,,,,,,,,,,,,,
US,3,2026-04-27,7000.0,1750.0,17.5,0.0,0.0,0.0,8000.0,2000.0,12.5,320.0,1280.0,2.0,2030.0,254.0,1.984375,254.0,2032.0,1.984375,31.984375,0,1,3.984375,31.984375,0.0,0.0,3000.0,796.88,3796.88,,,,,,,,,,,,,,,,,,
US,4,2026-05-04,15000.0,3750.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,375.0,2.929688,0.0,0.0,0.0,40.429688,1,0,0.0,65.0,24.570312,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
US,5,2026-05-11,12500.0,3125.0,31.25,325.0,1300.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,313.0,2.445312,313.0,2504.0,2.445312,33.695312,0,1,5.695312,33.695312,0.0,0.0,3000.0,1139.06,4139.06,,,,,,,,,,,,,,,,,,
US,6,2026-05-18,11000.0,2750.0,27.5,868.0,3472.0,8.68,4000.0,1000.0,6.25,0.0,0.0,0.0,3000.0,375.0,2.929688,0.0,0.0,0.0,36.679688,0,1,8.68,36.68,0.000312,0.0,3000.0,1736.0,4736.0,,,,,,,,,,,,,,,,,,
US,7,2026-05-25,13000.0,3250.0,32.5,762.0,3048.0,7.62,2000.0,500.0,3.125,1.0,4.0,0.00625,2700.0,338.0,2.640625,338.0,2704.0,2.640625,38.265625,0,1,10.266875,38.266875,0.00125,0.0,3000.0,2053.38,5053.38,,,,,,,,,,,,,,,,,,
US,8,2026-06-01,13773.0,3444.0,34.44,0.0,0.0,0.0,1227.0,307.0,1.91875,0.0,0.0,0.0,3000.0,375.0,2.929688,0.0,0.0,0.0,39.288438,1,0,0.0,65.0,25.711562,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
US,9,2026-06-08,7058.0,1765.0,17.65,0.0,0.0,0.0,5309.0,1328.0,8.3,141.0,564.0,0.88125,3000.0,375.0,2.929688,0.0,0.0,0.0,28.879688,0,1,0.88125,28.88125,0.001562,0.0,3000.0,176.25,3176.25,,,,,,,,,,,,,,,,,,
US,10,2026-06-15,2040.0,510.0,5.1,0.0,0.0,0.0,5309.0,1328.0,8.3,0.0,0.0,0.0,2700.0,338.0,2.640625,0.0,0.0,0.0,16.040625,0,1,0.0,28.0,11.959375,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
