Market,Week,Week_Date,Load_Type,Load_Index,Load_ID,Capacity_CBM,Boxes_E,Units_E,CBM_E,Total_Boxes,Total_Units,Used_CBM,Slack_CBM
AU,2,2026-04-27,LCL,1,LCL,,236,472.0,1.475,236,472.0,1.475,0.0
AU,3,2026-05-04,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,4,2026-05-11,LCL,1,LCL,,349,698.0,2.18125,349,698.0,2.18125,0.0
AU,6,2026-05-25,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,9,2026-06-15,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,11,2026-06-29,LCL,1,LCL,,350,700.0,2.1875,350,700.0,2.1875,0.0
AU,12,2026-07-06,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,13,2026-07-13,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,14,2026-07-20,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,17,2026-08-10,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,20,2026-08-31,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,24,2026-09-28,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,29,2026-11-02,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
AU,33,2026-11-30,LCL,1,LCL,,150,300.0,0.9375,150,300.0,0.9375,0.0
