Market,Week,Week_Date,Units_A,Boxes_A,CBM_A,LCL_Boxes_A,LCL_Units_A,LCL_CBM_A,Units_B,Boxes_B,CBM_B,LCL_Boxes_B,LCL_Units_B,LCL_CBM_B,Units_F,Boxes_F,CBM_F,LCL_Boxes_F,LCL_Units_F,LCL_CBM_F,Total_Demand_CBM,n40,n20,LCL_CBM,Coverage_CBM,Slack_CBM,Cost_40,Cost_20,Cost_LCL,Cost,Units_C,Boxes_C,CBM_C,LCL_Boxes_C,LCL_Units_C,LCL_CBM_C,Units_D,Boxes_D,CBM_D,LCL_Boxes_D,LCL_Units_D,LCL_CBM_D,Units_E,Boxes_E,CBM_E,LCL_Boxes_E,LCL_Units_E,LCL_CBM_E
UK,1,2026-04-20,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,2,2026-04-27,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
UK,3,2026-05-04,,,,,,,,,,,,,,,,,,,25.4,0,0,25.4,25.4,0.0,0.0,0.0,1778.0,1778.0,4320.0,2160.0,21.6,2160.0,4320.0,21.6,2430.0,608.0,3.8,608.0,2432.0,3.8,,,,,,
UK,4,2026-05-11,,,,,,,,,,,,,,,,,,,57.4625,0,0,57.4625,57.4625,0.0,0.0,0.0,4022.38,4022.38,8370.0,4185.0,41.85,4185.0,8370.0,41.85,9990.0,2498.0,15.6125,2498.0,9992.0,15.6125,,,,,,
UK,5,2026-05-18,,,,,,,,,,,,,,,,,,,68.035,1,0,3.04,68.04,0.005,4200.0,0.0,212.8,4412.8,11782.0,5891.0,58.91,304.0,608.0,3.04,5840.0,1460.0,9.125,0.0,0.0,0.0,,,,,,
UK,6,2026-05-25,,,,,,,,,,,,,,,,,,,65.27625,1,0,0.27625,65.27625,0.0,4200.0,0.0,19.34,4219.34,10524.0,5262.0,52.62,27.0,54.0,0.27,8100.0,2025.0,12.65625,1.0,4.0,0.00625,,,,,,
UK,7,2026-06-01,,,,,,,,,,,,,,,,,,,17.76875,0,0,17.76875,17.76875,0.0,0.0,0.0,1243.81,1243.81,3240.0,1620.0,16.2,1620.0,3240.0,16.2,1001.0,251.0,1.56875,251.0,1004.0,1.56875,,,,,,
UK,8,2026-06-08,,,,,,,,,,,,,,,,,,,36.0725,0,0,36.0725,36.0725,0.0,0.0,0.0,2525.07,2525.07,6442.0,3221.0,32.21,3221.0,6442.0,32.21,2471.0,618.0,3.8625,618.0,2472.0,3.8625,,,,,,
UK,9,2026-06-15,,,,,,,,,,,,,,,,,,,49.41625,0,0,49.41625,49.41625,0.0,0.0,0.0,3459.14,3459.14,8802.0,4401.0,44.01,4401.0,8802.0,44.01,3458.0,865.0,5.40625,865.0,3460.0,5.40625,,,,,,
UK,10,2026-06-22,,,,,,,,,,,,,,,,,,,39.26125,0,0,39.26125,39.26125,0.0,0.0,0.0,2748.29,2748.29,7695.0,3848.0,38.48,3848.0,7696.0,38.48,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
