Market,Week,Week_Date,Units_A,Boxes_A,CBM_A,LCL_Boxes_A,LCL_Units_A,LCL_CBM_A,Units_B,Boxes_B,CBM_B,LCL_Boxes_B,LCL_Units_B,LCL_CBM_B,Units_F,Boxes_F,CBM_F,LCL_Boxes_F,LCL_Units_F,LCL_CBM_F,Total_Demand_CBM,n40,n20,LCL_CBM,Coverage_CBM,Slack_CBM,Cost_40,Cost_20,Cost_LCL,Cost,Units_C,Boxes_C,CBM_C,LCL_Boxes_C,LCL_Units_C,LCL_CBM_C,Units_D,Boxes_D,CBM_D,LCL_Boxes_D,LCL_Units_D,LCL_CBM_D,Units_E,Boxes_E,CBM_E,LCL_Boxes_E,LCL_Units_E,LCL_CBM_E
US,1,2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,74.0,0.578125,74.0,592.0,0.578125,0.578125,0,0,0.578125,0.578125,0.0,0.0,0.0,115.62,115.62,,,,,,,,,,,,,,,,,,
UK,1,2026-04-20,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,1,2026-04-20,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,2,2026-04-27,684.0,171.0,1.71,171.0,684.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,4028.0,504.0,3.9375,504.0,4032.0,3.9375,5.6475,0,0,5.6475,5.6475,0.0,0.0,0.0,1129.5,1129.5,,,,,,,,,,,,,,,,,,
UK,2,2026-04-27,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,2,2026-04-27,,,,,,,,,,,,,,,,,,,1.475,0,0,1.475,1.475,0.0,0.0,0.0,51.62,51.62,,,,,,,,,,,,,472.0,236.0,1.475,236.0,472.0,1.475
US,3,2026-05-04,20000.0,5000.0,50.0,0.0,0.0,0.0,5502.0,1376.0,8.6,0.0,0.0,0.0,4200.0,525.0,4.101562,0.0,0.0,0.0,62.701563,1,0,0.0,65.0,2.298437,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,3,2026-05-04,,,,,,,,,,,,,,,,,,,25.4,0,0,25.4,25.4,0.0,0.0,0.0,1778.0,1778.0,4320.0,2160.0,21.6,2160.0,4320.0,21.6,2430.0,608.0,3.8,608.0,2432.0,3.8,,,,,,
AU,3,2026-05-04,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,4,2026-05-11,20000.0,5000.0,50.0,950.0,3800.0,9.5,15658.0,3915.0,24.46875,0.0,0.0,0.0,3802.0,476.0,3.71875,472.0,3776.0,3.6875,78.1875,1,0,13.1875,78.1875,0.0,5200.0,0.0,2637.5,7837.5,,,,,,,,,,,,,,,,,,
UK,4,2026-05-11,,,,,,,,,,,,,,,,,,,57.4625,0,0,57.4625,57.4625,0.0,0.0,0.0,4022.38,4022.38,8370.0,4185.0,41.85,4185.0,8370.0,41.85,9990.0,2498.0,15.6125,2498.0,9992.0,15.6125,,,,,,
AU,4,2026-05-11,,,,,,,,,,,,,,,,,,,2.18125,0,0,2.18125,2.18125,0.0,0.0,0.0,76.34,76.34,,,,,,,,,,,,,698.0,349.0,2.18125,349.0,698.0,2.18125
US,5,2026-05-18,11000.0,2750.0,27.5,0.0,0.0,0.0,8865.0,2217.0,13.85625,0.0,0.0,0.0,4500.0,563.0,4.398438,0.0,0.0,0.0,45.754688,1,0,0.0,65.0,19.245312,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,5,2026-05-18,,,,,,,,,,,,,,,,,,,68.035,1,0,3.04,68.04,0.005,4200.0,0.0,212.8,4412.8,11782.0,5891.0,58.91,304.0,608.0,3.04,5840.0,1460.0,9.125,0.0,0.0,0.0,,,,,,
AU,5,2026-05-18,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,6,2026-05-25,13000.0,3250.0,32.5,0.0,0.0,0.0,2146.0,537.0,3.35625,0.0,0.0,0.0,4200.0,525.0,4.101562,0.0,0.0,0.0,39.957813,1,0,0.0,65.0,25.042187,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,6,2026-05-25,,,,,,,,,,,,,,,,,,,65.27625,1,0,0.27625,65.27625,0.0,4200.0,0.0,19.34,4219.34,10524.0,5262.0,52.62,27.0,54.0,0.27,8100.0,2025.0,12.65625,1.0,4.0,0.00625,,,,,,
AU,6,2026-05-25,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
